ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
914,18-24,Male,"Some college or university, no certificate or degree",USA,White,43,30,41,34,36,-0.21712,0.7654,Used in Last Month,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used in Last Week,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used
915,35-44,Male,University degree,USA,White,39,29,34,32,47,-0.71126,0.40148,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used
916,18-24,Female,"Some college or university, no certificate or degree",USA,White,25,54,54,49,48,0.19268,0.7654,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Week,Never Used,Never Used
917,25-34,Female,Left school at 17 years,USA,White,56,20,42,28,19,1.86203,1.2247,Used in Last Week,Used in Last Month,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Week,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
918,18-24,Male,Left school at 18 years,USA,Mixed-White/Black,38,40,46,40,48,-0.71126,-0.21575,Used in Last Day,Used in Last Day,Never Used,Used in Last Month,Used in Last Week,Used in Last Month,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Month,Never Used,Never Used
919,25-34,Male,Left school at 16 years,USA,White,40,39,45,42,38,0.19268,0.7654,Used in Last Month,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Month,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Decade,Never Used,Never Used
920,18-24,Female,"Some college or university, no certificate or degree",USA,White,52,28,45,53,45,0.52975,1.2247,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used
921,18-24,Male,Left school at 18 years,Canada,White,38,49,58,41,34,1.86203,1.92173,Used in Last Day,Used in Last Month,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Used in Last Week,Used in Last Week,Used in Last Month,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Week,Used in Last Day,Never Used,Never Used
922,35-44,Male,Masters degree,UK,White,33,38,41,38,43,1.29221,0.07987,Used in Last Week,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Decade,Used in Last Day,Never Used,Never Used
923,18-24,Male,"Some college or university, no certificate or degree",Other,White,25,43,53,34,45,-0.21712,1.2247,Used in Last Day,Used in Last Month,Never Used,Used in Last Decade,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Month,Used in Last Month,Used in Last Year,Used in Last Month,Used in Last Day,Never Used,Used in Last Year
924,18-24,Male,Left school before 16 years,Australia,White,37,38,46,46,33,-0.21712,0.40148,Used in Last Year,Used in Last Month,Never Used,Used in Last Decade,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Never Used,Never Used,Used in Last Month,Used in Last Week,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
925,18-24,Male,"Some college or university, no certificate or degree",USA,White,25,30,41,35,33,0.19268,-0.21575,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used
926,25-34,Male,Left school at 18 years,USA,White,48,31,29,36,36,1.29221,-0.21575,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Day,Used in Last Year,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Month,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Used in Last Year
927,18-24,Male,Left school at 16 years,USA,White,46,29,48,44,35,0.52975,0.07987,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Used in Last Day,Never Used,Used in Last Decade
928,18-24,Male,Professional certificate/ diploma,USA,White,28,48,50,50,37,-0.21712,0.7654,Used in Last Week,Used in Last Decade,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Month,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Month,Never Used,Used in Last Week,Used in Last Week,Never Used,Used in Last Decade
929,25-34,Male,"Some college or university, no certificate or degree",USA,White,38,31,52,38,40,-0.21712,0.7654,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Week,Used in Last Week,Used in Last Day,Used over a Decade Ago,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Year,Used in Last Month,Used in Last Decade,Never Used,Used in Last Decade
930,25-34,Male,"Some college or university, no certificate or degree",USA,White,30,49,56,53,46,0.19268,1.2247,Used in Last Month,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
931,18-24,Female,"Some college or university, no certificate or degree",UK,Other,33,46,51,45,40,0.52975,0.07987,Used in Last Month,Used in Last Week,Used in Last Month,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Decade
932,35-44,Male,Left school at 16 years,UK,White,29,35,42,44,37,-1.37983,-0.84637,Used in Last Year,Used in Last Decade,Used in Last Year,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Year,Never Used,Never Used
933,25-34,Female,University degree,Australia,White,43,35,54,49,45,0.52975,0.7654,Used in Last Month,Used in Last Decade,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Decade,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used in Last Month,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
934,18-24,Female,Left school at 17 years,USA,White,47,26,46,50,36,-0.21712,1.92173,Used in Last Year,Used in Last Decade,Never Used,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Decade,Used in Last Month,Never Used,Used in Last Day,Used in Last Decade,Used in Last Day,Used in Last Decade,Used in Last Day,Never Used,Used in Last Decade
935,18-24,Female,University degree,UK,White,33,40,53,47,54,-0.71126,-0.52593,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
936,18-24,Female,"Some college or university, no certificate or degree",USA,White,24,47,54,45,36,1.86203,1.92173,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Month,Used in Last Day,Never Used,Used in Last Decade
937,18-24,Female,"Some college or university, no certificate or degree",USA,White,56,35,48,44,36,0.52975,0.7654,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Decade,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Year,Used in Last Month,Used in Last Decade,Used in Last Month,Used in Last Week,Never Used,Never Used
938,18-24,Male,Professional certificate/ diploma,UK,White,40,48,53,43,39,0.52975,0.07987,Used in Last Year,Used in Last Week,Used in Last Decade,Used in Last Week,Used in Last Week,Used in Last Week,Used in Last Day,Used in Last Year,Never Used,Used in Last Week,Never Used,Used in Last Year,Used in Last Week,Used in Last Week,Used in Last Decade,Used in Last Month,Used in Last Week,Never Used,Never Used
939,18-24,Male,"Some college or university, no certificate or degree",Other,White,35,42,50,47,35,0.88113,1.2247,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
940,18-24,Female,University degree,UK,White,39,42,46,39,47,-0.71126,0.40148,Used in Last Week,Never Used,Used in Last Decade,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Week,Never Used,Never Used
941,18-24,Male,"Some college or university, no certificate or degree",Other,White,40,37,53,33,41,-0.21712,0.7654,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Month,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Month,Never Used,Used in Last Year,Used in Last Year,Never Used,Never Used
942,25-34,Female,Left school at 18 years,Other,White,45,48,53,38,51,0.19268,0.40148,Used in Last Week,Used in Last Year,Used in Last Month,Never Used,Used in Last Week,Used in Last Week,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Year,Used in Last Month,Used in Last Decade,Used in Last Year,Used in Last Day,Never Used,Used over a Decade Ago
943,25-34,Male,Professional certificate/ diploma,USA,Other,31,54,59,51,50,-0.21712,0.40148,Used in Last Month,Used in Last Decade,Never Used,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Month,Used in Last Decade,Used in Last Week,Never Used,Used in Last Week,Used in Last Month,Used in Last Day,Never Used,Used in Last Day,Used in Last Day,Never Used,Used in Last Decade
944,18-24,Female,"Some college or university, no certificate or degree",USA,Mixed-White/Asian,51,34,50,46,33,0.88113,0.7654,Used in Last Year,Used in Last Year,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Used in Last Decade,Used in Last Month,Never Used,Never Used,Used in Last Decade,Used in Last Year,Used in Last Decade,Never Used,Never Used,Never Used
945,25-34,Female,Masters degree,USA,White,46,38,49,48,32,1.29221,0.7654,Used in Last Year,Used in Last Decade,Never Used,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Day,Never Used,Never Used
946,18-24,Female,"Some college or university, no certificate or degree",USA,White,32,32,42,52,35,-0.71126,-1.54858,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Month,Used in Last Day,Never Used,Never Used
947,18-24,Male,Left school at 18 years,USA,White,29,38,38,38,30,0.88113,-0.21575,Used in Last Month,Used in Last Day,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Year,Never Used,Used in Last Day,Never Used,Never Used,Used in Last Year,Used in Last Month,Used in Last Year,Used in Last Month,Used in Last Week,Never Used,Used in Last Decade
948,25-34,Male,Professional certificate/ diploma,UK,White,55,30,47,41,29,1.29221,-0.21575,Used in Last Day,Used in Last Decade,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Year,Used in Last Year,Used in Last Decade,Used in Last Week,Used in Last Decade,Never Used,Never Used,Never Used
949,25-34,Female,Left school at 18 years,Canada,White,40,40,29,41,47,-1.37983,-2.07848,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Used over a Decade Ago
950,35-44,Male,Professional certificate/ diploma,USA,White,51,27,46,44,30,0.88113,-0.52593,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Day,Used over a Decade Ago,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Month,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Month,Never Used,Never Used
951,18-24,Female,University degree,USA,White,42,40,49,40,37,-0.21712,0.40148,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Used in Last Decade,Used in Last Decade,Used in Last Year,Used in Last Day,Never Used,Used in Last Month,Used in Last Year,Never Used,Used in Last Year
952,18-24,Female,"Some college or university, no certificate or degree",USA,White,25,42,57,47,41,2.90161,1.92173,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Year,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Never Used,Never Used
953,18-24,Male,"Some college or university, no certificate or degree",USA,White,40,41,48,41,40,1.86203,0.7654,Used in Last Week,Used in Last Week,Never Used,Used in Last Year,Used in Last Week,Used in Last Day,Used in Last Month,Used in Last Year,Never Used,Used in Last Week,Never Used,Used in Last Year,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Never Used
954,25-34,Female,University degree,UK,White,46,33,46,41,29,0.52975,0.7654,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Month,Never Used,Used in Last Decade
955,18-24,Male,"Some college or university, no certificate or degree",Other,White,49,34,44,42,36,-0.71126,-1.18084,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Year,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
956,18-24,Male,Professional certificate/ diploma,USA,White,53,36,46,33,20,1.86203,1.2247,Used in Last Month,Used in Last Week,Used in Last Decade,Used in Last Month,Used in Last Week,Used in Last Day,Used in Last Week,Used in Last Month,Used in Last Decade,Used in Last Year,Used in Last Month,Never Used,Used in Last Year,Never Used,Used in Last Month,Used in Last Decade,Used in Last Day,Never Used,Used in Last Decade
957,45-54,Male,University degree,USA,White,25,36,42,44,45,-0.71126,-0.84637,Used in Last Week,Used in Last Day,Used over a Decade Ago,Used in Last Decade,Used in Last Day,Used in Last Year,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Used in Last Week,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used
958,35-44,Male,Professional certificate/ diploma,UK,White,23,38,47,51,50,-0.71126,-1.18084,Used in Last Day,Never Used,Used in Last Week,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Never Used,Used in Last Day,Never Used,Used in Last Day,Used in Last Year,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Week,Never Used,Never Used
959,18-24,Male,"Some college or university, no certificate or degree",Other,White,33,50,46,35,54,-0.21712,0.7654,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Week,Used in Last Day,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
960,18-24,Female,University degree,Other,White,36,41,55,50,37,0.52975,-0.52593,Used in Last Week,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Decade,Never Used,Never Used
961,45-54,Female,"Some college or university, no certificate or degree",USA,White,35,35,51,55,39,-0.21712,-0.21575,Used in Last Week,Used in Last Day,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Week,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used in Last Decade,Used in Last Year,Used over a Decade Ago,Never Used,Never Used
962,18-24,Male,Professional certificate/ diploma,Australia,White,39,46,53,45,40,1.86203,1.92173,Used in Last Week,Used in Last Year,Used in Last Week,Never Used,Used in Last Week,Used in Last Month,Used in Last Day,Used in Last Year,Never Used,Used in Last Week,Never Used,Used in Last Month,Used in Last Year,Used in Last Year,Never Used,Never Used,Used in Last Week,Never Used,Never Used
963,25-34,Male,"Some college or university, no certificate or degree",USA,White,32,42,57,48,33,0.88113,0.40148,Used in Last Week,Used in Last Year,Never Used,Used in Last Week,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Year,Used in Last Year,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Year,Used in Last Decade,Used in Last Day,Never Used,Never Used
964,35-44,Male,"Some college or university, no certificate or degree",UK,White,42,26,46,44,42,0.19268,1.2247,Used in Last Week,Used in Last Year,Used in Last Decade,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Year,Used in Last Week,Used in Last Month,Used in Last Day,Never Used,Never Used,Used in Last Decade,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Used over a Decade Ago
965,18-24,Male,"Some college or university, no certificate or degree",USA,White,27,48,43,48,44,-0.21712,0.40148,Used in Last Week,Used in Last Year,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Year,Used in Last Week,Never Used,Used in Last Month,Used in Last Year,Never Used,Never Used
966,25-34,Female,Masters degree,USA,White,25,40,51,46,40,0.19268,0.40148,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Decade,Used in Last Decade,Used in Last Year,Never Used,Never Used,Used in Last Decade,Never Used,Used in Last Week,Used in Last Decade,Used in Last Week,Never Used,Never Used
967,18-24,Male,Masters degree,UK,White,27,47,46,45,45,0.19268,1.2247,Used in Last Week,Used in Last Decade,Used in Last Year,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Month,Never Used,Used in Last Week,Never Used,Used in Last Year,Used in Last Year,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Year
968,18-24,Female,"Some college or university, no certificate or degree",USA,White,30,42,50,50,44,-0.71126,-0.52593,Used in Last Month,Used in Last Year,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Used over a Decade Ago,Used in Last Year,Used in Last Month,Never Used,Used over a Decade Ago
969,18-24,Female,"Some college or university, no certificate or degree",USA,White,33,41,57,52,39,1.29221,1.2247,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Week,Used in Last Week,Never Used,Used in Last Year
970,18-24,Male,"Some college or university, no certificate or degree",USA,Black,22,48,53,33,48,-0.21712,0.7654,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Year,Never Used,Never Used,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Month,Never Used,Never Used
971,55-64,Male,Doctorate degree,Other,Other,20,48,50,50,47,0.52975,0.07987,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Day,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used in Last Year,Used in Last Year,Used in Last Month,Never Used,Used over a Decade Ago
972,35-44,Female,University degree,Canada,White,38,40,45,39,38,0.88113,0.7654,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Week,Used in Last Week,Never Used,Used in Last Month,Used in Last Week,Never Used,Never Used
973,25-34,Male,"Some college or university, no certificate or degree",Canada,White,40,28,50,36,48,-0.21712,0.40148,Used in Last Day,Used in Last Month,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Year,Used in Last Month,Used in Last Month,Never Used,Used in Last Month,Used in Last Day,Never Used,Never Used
974,18-24,Male,"Some college or university, no certificate or degree",USA,White,50,31,38,44,38,-0.71126,0.40148,Used in Last Day,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used in Last Month,Used in Last Month,Used in Last Month,Never Used,Used in Last Month,Never Used,Used in Last Year,Never Used,Used in Last Year,Used in Last Year,Used in Last Year,Used in Last Day,Never Used,Never Used
975,18-24,Male,"Some college or university, no certificate or degree",USA,White,20,53,54,52,46,-0.71126,1.92173,Used in Last Day,Used in Last Decade,Never Used,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
976,18-24,Male,"Some college or university, no certificate or degree",USA,White,48,40,53,35,36,0.52975,1.92173,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Decade,Used in Last Day,Used in Last Month,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Never Used,Used in Last Week,Never Used,Never Used
977,65+,Male,Masters degree,USA,White,18,40,50,48,47,0.52975,-0.52593,Used over a Decade Ago,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
978,18-24,Male,"Some college or university, no certificate or degree",USA,White,30,47,51,47,42,-0.21712,-0.52593,Never Used,Used in Last Decade,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Used in Last Week,Never Used,Never Used,Never Used
979,35-44,Female,Masters degree,UK,White,30,49,37,53,39,1.29221,1.2247,Used in Last Week,Used in Last Month,Used in Last Decade,Used in Last Decade,Used in Last Day,Used in Last Year,Used in Last Day,Used in Last Week,Never Used,Used in Last Week,Never Used,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Never Used
980,45-54,Female,"Some college or university, no certificate or degree",USA,White,48,32,43,42,47,-0.71126,-0.21575,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
981,25-34,Female,Doctorate degree,USA,Asian,42,41,51,39,40,-0.71126,-0.84637,Used in Last Month,Used over a Decade Ago,Used in Last Decade,Used in Last Decade,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Decade,Used over a Decade Ago,Used in Last Year,Never Used,Used over a Decade Ago,Used in Last Decade,Used over a Decade Ago,Used over a Decade Ago,Used in Last Decade,Used in Last Year,Never Used,Used over a Decade Ago
982,18-24,Male,"Some college or university, no certificate or degree",Other,White,40,39,47,38,45,-0.21712,0.07987,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Week,Used in Last Year,Used in Last Year,Never Used,Never Used,Never Used,Used in Last Year,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Used in Last Year
983,18-24,Male,"Some college or university, no certificate or degree",UK,White,46,47,38,37,34,0.88113,1.2247,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Month,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Used in Last Decade
984,25-34,Female,University degree,USA,White,42,39,57,31,49,0.52975,1.2247,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Used in Last Month
985,18-24,Male,"Some college or university, no certificate or degree",USA,White,34,39,54,49,41,0.88113,1.92173,Used in Last Day,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Used in Last Day,Used in Last Week,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Used in Last Decade,Used in Last Month,Used in Last Week,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade
986,18-24,Male,"Some college or university, no certificate or degree",Other,White,34,42,54,40,35,0.52975,1.2247,Used in Last Week,Used in Last Year,Used in Last Year,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Year,Never Used,Used in Last Month,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Used in Last Month,Used in Last Day,Never Used,Never Used
987,18-24,Male,Professional certificate/ diploma,USA,White,43,34,41,40,44,0.88113,0.07987,Used in Last Week,Used in Last Day,Never Used,Used in Last Day,Used in Last Day,Used in Last Day,Used in Last Year,Used in Last Year,Never Used,Used in Last Year,Used in Last Day,Never Used,Used in Last Decade,Used in Last Month,Used in Last Day,Used in Last Year,Never Used,Never Used,Never Used
988,25-34,Male,"Some college or university, no certificate or degree",USA,White,52,44,49,34,25,1.29221,1.2247,Used in Last Month,Never Used,Never Used,Used in Last Month,Used in Last Day,Used in Last Day,Used in Last Month,Used in Last Decade,Used in Last Decade,Used in Last Year,Never Used,Never Used,Used in Last Year,Used in Last Decade,Used in Last Month,Used in Last Year,Used in Last Week,Never Used,Never Used
989,18-24,Male,"Some college or university, no certificate or degree",USA,White,46,29,49,43,35,-0.71126,0.07987,Used in Last Month,Used in Last Year,Never Used,Used in Last Day,Used in Last Week,Used in Last Day,Used in Last Day,Used in Last Week,Never Used,Used in Last Day,Never Used,Never Used,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Day,Never Used,Never Used
